general_assembly,bill,fiscal_year,fund_group,fund,line_item,title,amount
122,hb215,1998,General Revenue Fund,GRF,200100,Personal Services,10744925
122,hb215,1999,General Revenue Fund,GRF,200100,Personal Services,0
122,hb215,1998,General Revenue Fund,GRF,200200,Maintenance,8691111
122,hb215,1999,General Revenue Fund,GRF,200200,Maintenance,0
122,hb215,1998,General Revenue Fund,GRF,200300,Equipment,117449
122,hb215,1999,General Revenue Fund,GRF,200300,Equipment,0
122,hb215,1998,General Revenue Fund,GRF,200405,Primary and Secondary Education Funding,0
122,hb215,1999,General Revenue Fund,GRF,200405,Primary and Secondary Education Funding,4470135592
122,hb215,1998,General Revenue Fund,GRF,200406,Head Start,83739058
122,hb215,1999,General Revenue Fund,GRF,200406,Head Start,0
122,hb215,1998,General Revenue Fund,GRF,200408,Public Preschool,17468094
122,hb215,1999,General Revenue Fund,GRF,200408,Public Preschool,0
122,hb215,1998,General Revenue Fund,GRF,200411,Family and Children First,8500500
122,hb215,1999,General Revenue Fund,GRF,200411,Family and Children First,0
122,hb215,1998,General Revenue Fund,GRF,200412,Driver Education Administration,143429
122,hb215,1999,General Revenue Fund,GRF,200412,Driver Education Administration,0
122,hb215,1998,General Revenue Fund,GRF,200415,Consumer Education,500000
122,hb215,1999,General Revenue Fund,GRF,200415,Consumer Education,0
122,hb215,1998,General Revenue Fund,GRF,200416,Vocational Education Match,2245026
122,hb215,1999,General Revenue Fund,GRF,200416,Vocational Education Match,0
122,hb215,1998,General Revenue Fund,GRF,200417,Professional Development,14370077
122,hb215,1999,General Revenue Fund,GRF,200417,Professional Development,0
122,hb215,1998,General Revenue Fund,GRF,200422,School Management Assistance,550596
122,hb215,1999,General Revenue Fund,GRF,200422,School Management Assistance,0
122,hb215,1998,General Revenue Fund,GRF,200423,Teacher Recruitment,1289067
122,hb215,1999,General Revenue Fund,GRF,200423,Teacher Recruitment,0
122,hb215,1998,General Revenue Fund,GRF,200424,Simulation System,449796
122,hb215,1999,General Revenue Fund,GRF,200424,Simulation System,0
122,hb215,1998,General Revenue Fund,GRF,200426,Ohio Educational Computer Network,21698858
122,hb215,1999,General Revenue Fund,GRF,200426,Ohio Educational Computer Network,0
122,hb215,1998,General Revenue Fund,GRF,200429,Local Professional Development Block Grants,9259713
122,hb215,1999,General Revenue Fund,GRF,200429,Local Professional Development Block Grants,0
122,hb215,1998,General Revenue Fund,GRF,200431,School Improvement Models,16450000
122,hb215,1999,General Revenue Fund,GRF,200431,School Improvement Models,0
122,hb215,1998,General Revenue Fund,GRF,200432,School Conflict Management,392575
122,hb215,1999,General Revenue Fund,GRF,200432,School Conflict Management,0
122,hb215,1998,General Revenue Fund,GRF,200437,Student Proficiency,10555476
122,hb215,1999,General Revenue Fund,GRF,200437,Student Proficiency,0
122,hb215,1998,General Revenue Fund,GRF,200441,American Sign Language,226245
122,hb215,1999,General Revenue Fund,GRF,200441,American Sign Language,0
122,hb215,1998,General Revenue Fund,GRF,200442,Child Care Licensing,1359171
122,hb215,1999,General Revenue Fund,GRF,200442,Child Care Licensing,0
122,hb215,1998,General Revenue Fund,GRF,200446,Education Management Information System,12060657
122,hb215,1999,General Revenue Fund,GRF,200446,Education Management Information System,0
122,hb215,1998,General Revenue Fund,GRF,200447,GED Testing/Adult High School,1939001
122,hb215,1999,General Revenue Fund,GRF,200447,GED Testing/Adult High School,0
122,hb215,1998,General Revenue Fund,GRF,200455,Charter Schools,1200000
122,hb215,1999,General Revenue Fund,GRF,200455,Charter Schools,0
122,hb215,1998,General Revenue Fund,GRF,200500,School Finance Equity,109405982
122,hb215,1999,General Revenue Fund,GRF,200500,School Finance Equity,0
122,hb215,1998,General Revenue Fund,GRF,200501,School Foundation Basic Allowance,2202851688
122,hb215,1999,General Revenue Fund,GRF,200501,School Foundation Basic Allowance,0
122,hb215,1998,General Revenue Fund,GRF,200502,Pupil Transportation,179702987
122,hb215,1999,General Revenue Fund,GRF,200502,Pupil Transportation,0
122,hb215,1998,General Revenue Fund,GRF,200503,Bus Purchase Allowance,36365821
122,hb215,1999,General Revenue Fund,GRF,200503,Bus Purchase Allowance,0
122,hb215,1998,General Revenue Fund,GRF,200504,Special Education,556029126
122,hb215,1999,General Revenue Fund,GRF,200504,Special Education,0
122,hb215,1998,General Revenue Fund,GRF,200505,School Lunch Match,9450000
122,hb215,1999,General Revenue Fund,GRF,200505,School Lunch Match,0
122,hb215,1998,General Revenue Fund,GRF,200507,Vocational Education,317612847
122,hb215,1999,General Revenue Fund,GRF,200507,Vocational Education,0
122,hb215,1998,General Revenue Fund,GRF,200509,Adult Literacy Education,8928273
122,hb215,1999,General Revenue Fund,GRF,200509,Adult Literacy Education,0
122,hb215,1998,General Revenue Fund,GRF,200511,Auxiliary Services,95956267
122,hb215,1999,General Revenue Fund,GRF,200511,Auxiliary Services,0
122,hb215,1998,General Revenue Fund,GRF,200512,Driver Education,6026070
122,hb215,1999,General Revenue Fund,GRF,200512,Driver Education,0
122,hb215,1998,General Revenue Fund,GRF,200514,Post-Secondary/Adult Vocational Education,20695861
122,hb215,1999,General Revenue Fund,GRF,200514,Post-Secondary/Adult Vocational Education,0
122,hb215,1998,General Revenue Fund,GRF,200520,Disadvantaged Pupil Impact Aid,277205650
122,hb215,1999,General Revenue Fund,GRF,200520,Disadvantaged Pupil Impact Aid,0
122,hb215,1998,General Revenue Fund,GRF,200521,Gifted Pupil Program,34383349
122,hb215,1999,General Revenue Fund,GRF,200521,Gifted Pupil Program,0
122,hb215,1998,General Revenue Fund,GRF,200524,Educational Excellence and Competency,9528000
122,hb215,1999,General Revenue Fund,GRF,200524,Educational Excellence and Competency,0
122,hb215,1998,General Revenue Fund,GRF,200526,Vocational Education Equipment Replacement,4941622
122,hb215,1999,General Revenue Fund,GRF,200526,Vocational Education Equipment Replacement,0
122,hb215,1998,General Revenue Fund,GRF,200532,Nonpublic Administrative Cost Reimbursement,41829125
122,hb215,1999,General Revenue Fund,GRF,200532,Nonpublic Administrative Cost Reimbursement,0
122,hb215,1998,General Revenue Fund,GRF,200533,School-Age Child Care,1046647
122,hb215,1999,General Revenue Fund,GRF,200533,School-Age Child Care,0
122,hb215,1998,General Revenue Fund,GRF,200534,Desegregation Costs,50400000
122,hb215,1999,General Revenue Fund,GRF,200534,Desegregation Costs,0
122,hb215,1998,General Revenue Fund,GRF,200541,Peer Review,1840000
122,hb215,1999,General Revenue Fund,GRF,200541,Peer Review,0
122,hb215,1998,General Revenue Fund,GRF,200542,National Board Certification,1600000
122,hb215,1999,General Revenue Fund,GRF,200542,National Board Certification,0
122,hb215,1998,General Revenue Fund,GRF,200543,Entry Year Program,2396205
122,hb215,1999,General Revenue Fund,GRF,200543,Entry Year Program,0
122,hb215,1998,General Revenue Fund,GRF,200544,Individual Career Plan & Passport,5708968
122,hb215,1999,General Revenue Fund,GRF,200544,Individual Career Plan & Passport,0
122,hb215,1998,General Revenue Fund,GRF,200551,Reading Improvement,1666133
122,hb215,1999,General Revenue Fund,GRF,200551,Reading Improvement,0
122,hb215,1998,General Revenue Fund,GRF,200552,County MR/DD Boards Vehicle Purchases,1551774
122,hb215,1999,General Revenue Fund,GRF,200552,County MR/DD Boards Vehicle Purchases,0
122,hb215,1998,General Revenue Fund,GRF,200553,County MR/DD Boards Transportation Operating,6611623
122,hb215,1999,General Revenue Fund,GRF,200553,County MR/DD Boards Transportation Operating,0
122,hb215,1998,General Revenue Fund,GRF,200577,Preschool Special Education,62268535
122,hb215,1999,General Revenue Fund,GRF,200577,Preschool Special Education,0
122,hb215,1998,General Revenue Fund,GRF,200589,Special Education Aides,1635157
122,hb215,1999,General Revenue Fund,GRF,200589,Special Education Aides,0
122,hb215,1998,General Revenue Fund,GRF,200901,Property Tax Allocation - Education,566800000
122,hb215,1999,General Revenue Fund,GRF,200901,Property Tax Allocation - Education,600800000
122,hb215,1998,General Revenue Fund,GRF,200906,Tangible Tax Exemption - Education,61320000
122,hb215,1999,General Revenue Fund,GRF,200906,Tangible Tax Exemption - Education,63210000
122,hb215,1998,General Services Fund Group,4D1,200602,Ohio Prevention/Education Resource Center,277560
122,hb215,1999,General Services Fund Group,4D1,200602,Ohio Prevention/Education Resource Center,285332
122,hb215,1998,General Services Fund Group,138,200606,Computer Services,4036728
122,hb215,1999,General Services Fund Group,138,200606,Computer Services,4143201
122,hb215,1998,General Services Fund Group,452,200638,Fees and Gifts,1788862
122,hb215,1999,General Services Fund Group,452,200638,Fees and Gifts,1838335
122,hb215,1998,General Services Fund Group,596,200656,Ohio Career Information System,647156
122,hb215,1999,General Services Fund Group,596,200656,Ohio Career Information System,660812
122,hb215,1998,General Services Fund Group,4P1,200629,Adult Literacy Education,2364400
122,hb215,1999,General Services Fund Group,4P1,200629,Adult Literacy Education,2430603
122,hb215,1998,General Services Fund Group,4L2,200681,Teacher Certification and Licensure,3580741
122,hb215,1999,General Services Fund Group,4L2,200681,Teacher Certification and Licensure,3675311
122,hb215,1998,Federal Special Revenue Fund Group,309,200601,Educationally Disadvantaged,12486104
122,hb215,1999,Federal Special Revenue Fund Group,309,200601,Educationally Disadvantaged,12904245
122,hb215,1998,Federal Special Revenue Fund Group,366,200604,Adult Basic Education,16300000
122,hb215,1999,Federal Special Revenue Fund Group,366,200604,Adult Basic Education,18000000
122,hb215,1998,Federal Special Revenue Fund Group,3H9,200605,Head Start Collaboration Project,200000
122,hb215,1999,Federal Special Revenue Fund Group,3H9,200605,Head Start Collaboration Project,200000
122,hb215,1998,Federal Special Revenue Fund Group,367,200607,School Food Services,9290000
122,hb215,1999,Federal Special Revenue Fund Group,367,200607,School Food Services,10160000
122,hb215,1998,Federal Special Revenue Fund Group,368,200614,Veterans' Training,565232
122,hb215,1999,Federal Special Revenue Fund Group,368,200614,Veterans' Training,593493
122,hb215,1998,Federal Special Revenue Fund Group,369,200616,Vocational Education,10556971
122,hb215,1999,Federal Special Revenue Fund Group,369,200616,Vocational Education,10787320
122,hb215,1998,Federal Special Revenue Fund Group,3L6,200617,Federal School Lunch,159570000
122,hb215,1999,Federal Special Revenue Fund Group,3L6,200617,Federal School Lunch,167550000
122,hb215,1998,Federal Special Revenue Fund Group,3L7,200618,Federal School Breakfast,29818000
122,hb215,1999,Federal Special Revenue Fund Group,3L7,200618,Federal School Breakfast,31607000
122,hb215,1998,Federal Special Revenue Fund Group,3L8,200619,Child and Adult Care Programs,58600000
122,hb215,1999,Federal Special Revenue Fund Group,3L8,200619,Child and Adult Care Programs,59800000
122,hb215,1998,Federal Special Revenue Fund Group,3L9,200621,Vocational Education Basic Grant,54122121
122,hb215,1999,Federal Special Revenue Fund Group,3L9,200621,Vocational Education Basic Grant,54122121
122,hb215,1998,Federal Special Revenue Fund Group,3M0,200623,ESEA Chapter One,356669568
122,hb215,1999,Federal Special Revenue Fund Group,3M0,200623,ESEA Chapter One,374503047
122,hb215,1998,Federal Special Revenue Fund Group,370,200624,Education of All Handicapped Children,12902838
122,hb215,1999,Federal Special Revenue Fund Group,370,200624,Education of All Handicapped Children,12902838
122,hb215,1998,Federal Special Revenue Fund Group,3N7,200627,School-to-Work,18000000
122,hb215,1999,Federal Special Revenue Fund Group,3N7,200627,School-to-Work,13500000
122,hb215,1998,Federal Special Revenue Fund Group,371,200631,EEO Title IV,364655
122,hb215,1999,Federal Special Revenue Fund Group,371,200631,EEO Title IV,377850
122,hb215,1998,Federal Special Revenue Fund Group,372,200635,Federal Driver Education Projects,84500
122,hb215,1999,Federal Special Revenue Fund Group,372,200635,Federal Driver Education Projects,84500
122,hb215,1998,Federal Special Revenue Fund Group,373,200642,Pupil Transportation Safety Project,81000
122,hb215,1999,Federal Special Revenue Fund Group,373,200642,Pupil Transportation Safety Project,81000
122,hb215,1998,Federal Special Revenue Fund Group,374,200647,E.S.E.A. Consolidated Grants,260301
122,hb215,1999,Federal Special Revenue Fund Group,374,200647,E.S.E.A. Consolidated Grants,265624
122,hb215,1998,Federal Special Revenue Fund Group,375,200652,Technical Assistance for Educational Mobility,216720
122,hb215,1999,Federal Special Revenue Fund Group,375,200652,Technical Assistance for Educational Mobility,227556
122,hb215,1998,Federal Special Revenue Fund Group,376,200653,J.T.P.A.,5000000
122,hb215,1999,Federal Special Revenue Fund Group,376,200653,J.T.P.A.,5034523
122,hb215,1998,Federal Special Revenue Fund Group,3R3,200654,Goals 2000,19789214
122,hb215,1999,Federal Special Revenue Fund Group,3R3,200654,Goals 2000,22000000
122,hb215,1998,Federal Special Revenue Fund Group,377,200657,Sex Equity,125685
122,hb215,1999,Federal Special Revenue Fund Group,377,200657,Sex Equity,131969
122,hb215,1998,Federal Special Revenue Fund Group,378,200660,Math/Science Technology Investments,10802634
122,hb215,1999,Federal Special Revenue Fund Group,378,200660,Math/Science Technology Investments,12000000
122,hb215,1998,Federal Special Revenue Fund Group,3D1,200664,Drug Free Schools,17410259
122,hb215,1999,Federal Special Revenue Fund Group,3D1,200664,Drug Free Schools,19500000
122,hb215,1998,Federal Special Revenue Fund Group,3D2,200667,Honors Scholarship Program,1231979
122,hb215,1999,Federal Special Revenue Fund Group,3D2,200667,Honors Scholarship Program,1231979
122,hb215,1998,Federal Special Revenue Fund Group,3E2,200668,AIDS Education Project,718734
122,hb215,1999,Federal Special Revenue Fund Group,3E2,200668,AIDS Education Project,620775
122,hb215,1998,Federal Special Revenue Fund Group,3M1,200678,ESEA Chapter Two,13478447
122,hb215,1999,Federal Special Revenue Fund Group,3M1,200678,ESEA Chapter Two,14152369
122,hb215,1998,Federal Special Revenue Fund Group,3M2,200680,Ind W/Disab Education Act,91825830
122,hb215,1999,Federal Special Revenue Fund Group,3M2,200680,Ind W/Disab Education Act,91825830
122,hb215,1998,State Special Revenue Fund Group,454,200610,Guidance and Testing,490662
122,hb215,1999,State Special Revenue Fund Group,454,200610,Guidance and Testing,503912
122,hb215,1998,State Special Revenue Fund Group,455,200608,Commodity Foods,8000000
122,hb215,1999,State Special Revenue Fund Group,455,200608,Commodity Foods,8000000
122,hb215,1998,State Special Revenue Fund Group,4V7,200633,Interagency Vocational Support,514000
122,hb215,1999,State Special Revenue Fund Group,4V7,200633,Interagency Vocational Support,528392
122,hb215,1998,State Special Revenue Fund Group,5F8,200645,Textbooks/Instructional Materials,25000000
122,hb215,1999,State Special Revenue Fund Group,5F8,200645,Textbooks/Instructional Materials,25000000
122,hb215,1998,State Special Revenue Fund Group,598,200659,Auxiliary Services Mobile Units,1224444
122,hb215,1999,State Special Revenue Fund Group,598,200659,Auxiliary Services Mobile Units,1258728
122,hb215,1998,State Special Revenue Fund Group,4R7,200695,Indirect Cost Recovery,1357434
122,hb215,1999,State Special Revenue Fund Group,4R7,200695,Indirect Cost Recovery,1393146
122,hb215,1998,Lottery Profits Education Fund Group,017,200682,Lease Rental Payment Reimbursement,21105000
122,hb215,1999,Lottery Profits Education Fund Group,017,200682,Lease Rental Payment Reimbursement,32780000
122,hb215,1998,Lottery Profits Education Fund Group,017,200670,School Foundation - Basic Allowance,584137200
122,hb215,1999,Lottery Profits Education Fund Group,017,200670,School Foundation - Basic Allowance,0
122,hb215,1998,Lottery Profits Education Fund Group,017,200671,Special Education,44000000
122,hb215,1999,Lottery Profits Education Fund Group,017,200671,Special Education,0
122,hb215,1998,Lottery Profits Education Fund Group,017,200672,Vocational Education,30000000
122,hb215,1999,Lottery Profits Education Fund Group,017,200672,Vocational Education,0
122,hb215,1998,Lottery Profits Education Fund Group,017,200673,Primary and Secondary Lottery Funding,0
122,hb215,1999,Lottery Profits Education Fund Group,017,200673,Primary and Secondary Lottery Funding,666093028
122,hb215,1998,Lottery Profits Education Fund Group,017,200694,Bus Purchase One Time Supplement,10000000
122,hb215,1999,Lottery Profits Education Fund Group,017,200694,Bus Purchase One Time Supplement,0
122,hb215,1998,Lottery Profits Education Fund Group,018,200649,Disability Access Project,5000000
122,hb215,1999,Lottery Profits Education Fund Group,018,200649,Disability Access Project,0
122,hb215,1998,Lottery Profits Education Fund Group,018,200669,Judgement Loan,5650000
122,hb215,1999,Lottery Profits Education Fund Group,018,200669,Judgement Loan,0
122,hb215,1998,Education Improvement Fund,006,200689,Hazardous Waste Removal,1500000
122,hb215,1999,Education Improvement Fund,006,200689,Hazardous Waste Removal,1443401
123,hb282,2000,General Revenue Fund,GRF,200100,Personal Services,12190600
123,hb282,2001,General Revenue Fund,GRF,200100,Personal Services,12265000
123,hb282,2000,General Revenue Fund,GRF,200320,Maintenance and Equipment,8961654
123,hb282,2001,General Revenue Fund,GRF,200320,Maintenance and Equipment,5293979
123,hb282,2000,General Revenue Fund,GRF,200406,Head Start,96992016
123,hb282,2001,General Revenue Fund,GRF,200406,Head Start,100843825
123,hb282,2000,General Revenue Fund,GRF,200408,Public Preschool,19066606
123,hb282,2001,General Revenue Fund,GRF,200408,Public Preschool,19506205
123,hb282,2000,General Revenue Fund,GRF,200410,Professional Development,27293834
123,hb282,2001,General Revenue Fund,GRF,200410,Professional Development,28568834
123,hb282,2000,General Revenue Fund,GRF,200411,Family and Children First,10642188
123,hb282,2001,General Revenue Fund,GRF,200411,Family and Children First,10642188
123,hb282,2000,General Revenue Fund,GRF,200416,Vocational Education Match,2325916
123,hb282,2001,General Revenue Fund,GRF,200416,Vocational Education Match,2381738
123,hb282,2000,General Revenue Fund,GRF,200420,Technical Systems Development Am. Sub. H. B. No. 282,4950000
123,hb282,2001,General Revenue Fund,GRF,200420,Technical Systems Development Am. Sub. H. B. No. 282,3850000
123,hb282,2000,General Revenue Fund,GRF,200422,School Management Assistance,1387186
123,hb282,2001,General Revenue Fund,GRF,200422,School Management Assistance,1440836
123,hb282,2000,General Revenue Fund,GRF,200424,Policy Analysis,505354
123,hb282,2001,General Revenue Fund,GRF,200424,Policy Analysis,637655
123,hb282,2000,General Revenue Fund,GRF,200426,Ohio Educational Computer Network,25089772
123,hb282,2001,General Revenue Fund,GRF,200426,Ohio Educational Computer Network,37004086
123,hb282,2000,General Revenue Fund,GRF,200431,School Improvement Models,26900000
123,hb282,2001,General Revenue Fund,GRF,200431,School Improvement Models,26775000
